subject,trial,response,reward,trial_type,accuracy
4005,1,2,-1,1,0
4005,2,3,0,1,1
4005,3,1,1,0,1
4005,4,1,1,0,1
4005,5,3,0,1,1
4005,6,1,0,0,1
4005,7,2,-1,1,0
4005,8,3,0,1,1
4005,9,3,0,0,0
4005,10,1,1,0,1
4005,11,3,0,1,1
4005,12,1,1,0,1
4005,13,3,0,1,1
4005,14,3,0,1,1
4005,15,3,0,1,1
4005,16,3,0,1,1
4005,17,3,1,1,1
4005,18,3,0,1,1
4005,19,3,-1,1,1
4005,20,1,0,0,1
4005,21,1,1,0,1
4005,22,3,-1,1,1
4005,23,-99,-99,1,-99
4005,24,1,1,0,1
4005,25,-99,-99,1,-99
4005,26,1,1,0,1
4005,27,2,0,1,0
4005,28,1,1,0,1
4005,29,1,0,0,1
4005,30,1,1,0,1
4005,31,3,0,1,1
4005,32,1,1,0,1
4005,33,3,0,1,1
4005,34,3,0,1,1
4005,35,1,0,0,1
4005,36,-99,-99,1,-99
4005,37,3,0,1,1
4005,38,1,1,0,1
4005,39,1,1,0,1
4005,40,1,1,0,1
4005,41,1,1,0,1
4005,42,1,1,0,1
4005,43,3,0,1,1
4005,44,3,1,1,1
4005,45,3,-1,1,1
4005,46,1,1,0,1
4005,47,1,0,0,1
4005,48,3,0,1,1
4005,49,3,0,1,1
4005,50,1,1,0,1
4005,51,1,1,0,1
4005,52,1,1,0,1
4005,53,1,1,0,1
4005,54,3,0,1,1
4005,55,1,1,0,1
4005,56,1,1,0,1
4005,57,1,1,0,1
4005,58,1,1,0,1
4005,59,-99,-99,0,-99
4005,60,3,0,1,1
4005,61,3,0,1,1
4005,62,1,0,0,1
4005,63,1,1,0,1
4005,64,1,1,0,1
4005,65,3,0,1,1
4005,66,1,1,0,1
4005,67,1,1,0,1
4005,68,3,0,1,1
4005,69,3,0,1,1
4005,70,3,0,1,1
4005,71,3,0,1,1
4005,72,3,0,1,1
4005,73,3,0,1,1
4005,74,1,1,0,1
4005,75,3,0,1,1
4005,76,1,0,0,1
4005,77,3,0,1,1
4005,78,1,1,0,1
4005,79,1,0,0,1
4005,80,3,1,1,1
4005,81,1,1,0,1
4005,82,1,1,0,1
4005,83,1,1,0,1
4005,84,1,0,0,1
4005,85,3,0,1,1
4005,86,3,0,1,1
4005,87,3,0,1,1
4005,88,-99,-99,0,-99
4005,89,1,1,0,1
4005,90,3,0,1,1
4005,91,3,0,1,1
4005,92,1,1,0,1
4005,93,3,0,1,1
4005,94,3,-1,1,1
4005,95,1,0,0,1
4005,96,3,0,1,1
4005,97,3,0,1,1
4005,98,1,1,0,1
4005,99,1,1,0,1
4005,100,3,0,1,1
