subject,trial,response,reward,trial_type,accuracy
3052,1,-99,-99,0,NaN
3052,2,1,1,0,1
3052,3,1,1,0,1
3052,4,3,0,1,1
3052,5,2,-1,1,0
3052,6,3,0,1,1
3052,7,2,-1,1,0
3052,8,2,0,1,0
3052,9,3,0,0,0
3052,10,1,0,0,1
3052,11,3,0,0,0
3052,12,3,0,1,1
3052,13,1,1,0,1
3052,14,1,1,0,1
3052,15,2,-1,1,0
3052,16,3,0,1,1
3052,17,3,0,1,1
3052,18,1,0,0,1
3052,19,2,-1,1,0
3052,20,3,1,1,1
3052,21,1,1,0,1
3052,22,1,1,0,1
3052,23,3,1,1,1
3052,24,1,0,0,1
3052,25,1,1,0,1
3052,26,1,1,0,1
3052,27,2,-1,1,0
3052,28,3,0,1,1
3052,29,3,0,1,1
3052,30,3,-1,1,1
3052,31,1,1,0,1
3052,32,2,0,1,0
3052,33,3,0,1,1
3052,34,1,0,0,1
3052,35,1,1,0,1
3052,36,1,1,0,1
3052,37,2,-1,1,0
3052,38,1,1,0,1
3052,39,3,1,1,1
3052,40,1,1,0,1
3052,41,2,-1,1,0
3052,42,3,0,1,1
3052,43,3,-1,1,1
3052,44,1,1,0,1
3052,45,3,-1,1,1
3052,46,3,0,1,1
3052,47,3,0,1,1
3052,48,2,-1,1,0
3052,49,1,1,0,1
3052,50,1,1,0,1
3052,51,1,1,0,1
3052,52,1,1,0,1
3052,53,3,0,1,1
3052,54,3,0,1,1
3052,55,2,0,1,0
3052,56,3,0,1,1
3052,57,2,-1,1,0
3052,58,1,1,0,1
3052,59,3,1,1,1
3052,60,1,1,0,1
3052,61,1,0,0,1
3052,62,3,0,1,1
3052,63,1,1,0,1
3052,64,1,1,0,1
3052,65,1,1,0,1
3052,66,1,0,0,1
3052,67,3,0,1,1
3052,68,1,1,0,1
3052,69,1,1,0,1
3052,70,3,0,1,1
3052,71,1,0,0,1
3052,72,1,1,0,1
3052,73,1,1,0,1
3052,74,1,1,0,1
3052,75,2,-1,1,0
3052,76,3,0,1,1
3052,77,1,1,0,1
3052,78,1,0,0,1
3052,79,3,0,1,1
3052,80,2,-1,1,0
3052,81,1,1,0,1
3052,82,2,0,1,0
3052,83,1,1,0,1
3052,84,1,1,0,1
3052,85,3,0,1,1
3052,86,2,-1,1,0
3052,87,3,0,1,1
3052,88,1,0,0,1
3052,89,1,1,0,1
3052,90,3,0,1,1
3052,91,1,1,0,1
3052,92,3,0,1,1
3052,93,1,1,0,1
3052,94,1,1,0,1
3052,95,2,-1,1,0
3052,96,3,0,1,1
3052,97,2,-1,1,0
3052,98,1,0,0,1
3052,99,1,1,0,1
3052,100,2,0,1,0
