subject,trial,response,reward,trial_type,accuracy
3006,1,1,1,0,1
3006,2,1,1,0,1
3006,3,1,1,0,1
3006,4,3,0,1,1
3006,5,3,0,1,1
3006,6,3,0,1,1
3006,7,3,0,1,1
3006,8,3,0,1,1
3006,9,1,0,0,1
3006,10,1,0,0,1
3006,11,1,1,0,1
3006,12,3,0,1,1
3006,13,1,1,0,1
3006,14,1,0,0,1
3006,15,3,0,1,1
3006,16,3,0,1,1
3006,17,3,0,1,1
3006,18,3,0,0,0
3006,19,3,0,1,1
3006,20,3,0,1,1
3006,21,1,1,0,1
3006,22,1,1,0,1
3006,23,3,0,1,1
3006,24,1,1,0,1
3006,25,1,1,0,1
3006,26,1,1,0,1
3006,27,3,0,1,1
3006,28,3,1,1,1
3006,29,3,-1,1,1
3006,30,3,0,1,1
3006,31,1,1,0,1
3006,32,3,0,1,1
3006,33,3,0,1,1
3006,34,1,0,0,1
3006,35,1,1,0,1
3006,36,1,1,0,1
3006,37,3,0,1,1
3006,38,1,1,0,1
3006,39,3,-1,1,1
3006,40,1,1,0,1
3006,41,3,0,1,1
3006,42,3,-1,1,1
3006,43,3,0,1,1
3006,44,1,1,0,1
3006,45,3,0,1,1
3006,46,3,0,1,1
3006,47,3,0,1,1
3006,48,3,0,1,1
3006,49,1,1,0,1
3006,50,1,1,0,1
3006,51,1,1,0,1
3006,52,1,0,0,1
3006,53,3,0,1,1
3006,54,3,-1,1,1
3006,55,3,1,1,1
3006,56,3,0,1,1
3006,57,3,0,1,1
3006,58,1,0,0,1
3006,59,3,0,1,1
3006,60,1,0,0,1
3006,61,1,1,0,1
3006,62,3,1,1,1
3006,63,1,1,0,1
3006,64,1,1,0,1
3006,65,1,1,0,1
3006,66,1,1,0,1
3006,67,3,0,1,1
3006,68,1,1,0,1
3006,69,1,1,0,1
3006,70,3,0,1,1
3006,71,1,1,0,1
3006,72,1,1,0,1
3006,73,1,1,0,1
3006,74,1,1,0,1
3006,75,3,1,1,1
3006,76,3,0,1,1
3006,77,1,1,0,1
3006,78,1,0,0,1
3006,79,3,0,1,1
3006,80,3,0,1,1
3006,81,1,1,0,1
3006,82,3,0,1,1
3006,83,1,0,0,1
3006,84,1,1,0,1
3006,85,3,0,1,1
3006,86,3,0,1,1
3006,87,3,0,1,1
3006,88,1,1,0,1
3006,89,1,1,0,1
3006,90,3,0,1,1
3006,91,1,1,0,1
3006,92,3,0,1,1
3006,93,1,1,0,1
3006,94,1,1,0,1
3006,95,3,0,1,1
3006,96,3,-1,1,1
3006,97,3,0,1,1
3006,98,1,1,0,1
3006,99,1,0,0,1
3006,100,3,0,1,1
