subject,trial,response,reward,trial_type,accuracy
3026,1,3,0,0,0
3026,2,-99,-99,0,NaN
3026,3,3,0,0,0
3026,4,3,0,1,1
3026,5,2,-1,1,0
3026,6,3,0,1,1
3026,7,3,0,1,1
3026,8,3,0,1,1
3026,9,1,1,0,1
3026,10,1,1,0,1
3026,11,1,1,0,1
3026,12,3,0,1,1
3026,13,1,1,0,1
3026,14,1,1,0,1
3026,15,2,-1,1,0
3026,16,3,0,1,1
3026,17,3,0,1,1
3026,18,-99,-99,0,NaN
3026,19,3,0,1,1
3026,20,3,0,1,1
3026,21,1,1,0,1
3026,22,1,1,0,1
3026,23,3,0,1,1
3026,24,1,1,0,1
3026,25,1,1,0,1
3026,26,1,1,0,1
3026,27,3,0,1,1
3026,28,3,0,1,1
3026,29,3,0,1,1
3026,30,3,0,1,1
3026,31,3,0,0,0
3026,32,3,-1,1,1
3026,33,-99,-99,1,NaN
3026,34,1,0,0,1
3026,35,1,1,0,1
3026,36,1,1,0,1
3026,37,3,0,1,1
3026,38,1,0,0,1
3026,39,3,1,1,1
3026,40,1,1,0,1
3026,41,3,0,1,1
3026,42,3,1,1,1
3026,43,3,0,1,1
3026,44,1,1,0,1
3026,45,2,-1,1,0
3026,46,3,1,1,1
3026,47,3,0,1,1
3026,48,3,0,1,1
3026,49,3,0,0,0
3026,50,1,0,0,1
3026,51,1,0,0,1
3026,52,1,1,0,1
3026,53,3,0,1,1
3026,54,3,0,1,1
3026,55,3,0,1,1
3026,56,3,0,1,1
3026,57,3,-1,1,1
3026,58,1,1,0,1
3026,59,3,0,1,1
3026,60,-99,-99,0,NaN
3026,61,1,1,0,1
3026,62,3,1,1,1
3026,63,1,1,0,1
3026,64,1,0,0,1
3026,65,1,1,0,1
3026,66,1,1,0,1
3026,67,3,1,1,1
3026,68,-99,-99,0,NaN
3026,69,1,1,0,1
3026,70,3,0,1,1
3026,71,1,1,0,1
3026,72,1,0,0,1
3026,73,1,1,0,1
3026,74,1,1,0,1
3026,75,3,-1,1,1
3026,76,3,0,1,1
3026,77,1,1,0,1
3026,78,1,1,0,1
3026,79,-99,-99,1,NaN
3026,80,3,0,1,1
3026,81,1,1,0,1
3026,82,3,0,1,1
3026,83,1,1,0,1
3026,84,1,1,0,1
3026,85,-99,-99,1,NaN
3026,86,3,0,1,1
3026,87,3,1,1,1
3026,88,1,1,0,1
3026,89,1,0,0,1
3026,90,3,0,1,1
3026,91,1,1,0,1
3026,92,3,0,1,1
3026,93,1,1,0,1
3026,94,1,1,0,1
3026,95,3,0,1,1
3026,96,3,1,1,1
3026,97,3,0,1,1
3026,98,1,0,0,1
3026,99,1,0,0,1
3026,100,3,-1,1,1
