subject,trial,response,reward,trial_type,accuracy
4007,1,3,0,0,0
4007,2,1,0,0,1
4007,3,-99,-99,0,-99
4007,4,2,-1,1,0
4007,5,3,0,1,1
4007,6,3,1,1,1
4007,7,3,0,1,1
4007,8,3,0,1,1
4007,9,3,0,0,0
4007,10,1,1,0,1
4007,11,1,1,0,1
4007,12,3,0,1,1
4007,13,-99,-99,0,-99
4007,14,1,1,0,1
4007,15,3,0,1,1
4007,16,3,1,1,1
4007,17,3,0,1,1
4007,18,1,0,0,1
4007,19,3,0,1,1
4007,20,3,0,1,1
4007,21,1,1,0,1
4007,22,1,1,0,1
4007,23,2,-1,1,0
4007,24,1,1,0,1
4007,25,1,1,0,1
4007,26,1,1,0,1
4007,27,3,0,1,1
4007,28,3,0,1,1
4007,29,3,0,1,1
4007,30,3,-1,1,1
4007,31,1,1,0,1
4007,32,3,0,1,1
4007,33,3,0,1,1
4007,34,1,1,0,1
4007,35,1,0,0,1
4007,36,1,1,0,1
4007,37,3,0,1,1
4007,38,1,1,0,1
4007,39,3,0,1,1
4007,40,1,1,0,1
4007,41,3,0,1,1
4007,42,3,0,1,1
4007,43,3,0,1,1
4007,44,1,1,0,1
4007,45,3,0,1,1
4007,46,3,0,1,1
4007,47,3,0,1,1
4007,48,3,0,1,1
4007,49,1,0,0,1
4007,50,1,1,0,1
4007,51,1,0,0,1
4007,52,3,-1,0,0
4007,53,3,0,1,1
4007,54,2,-1,1,0
4007,55,3,1,1,1
4007,56,3,0,1,1
4007,57,3,0,1,1
4007,58,1,1,0,1
4007,59,3,0,1,1
4007,60,1,0,0,1
4007,61,1,0,0,1
4007,62,3,0,1,1
4007,63,1,0,0,1
4007,64,1,0,0,1
4007,65,1,1,0,1
4007,66,1,1,0,1
4007,67,3,0,1,1
4007,68,1,1,0,1
4007,69,1,0,0,1
4007,70,3,0,1,1
4007,71,1,1,0,1
4007,72,1,1,0,1
4007,73,1,1,0,1
4007,74,1,1,0,1
4007,75,3,0,1,1
4007,76,3,0,1,1
4007,77,1,1,0,1
4007,78,1,1,0,1
4007,79,3,0,1,1
4007,80,3,0,1,1
4007,81,1,1,0,1
4007,82,3,0,1,1
4007,83,1,1,0,1
4007,84,1,1,0,1
4007,85,3,-1,1,1
4007,86,3,0,1,1
4007,87,3,0,1,1
4007,88,1,1,0,1
4007,89,3,0,0,0
4007,90,3,0,1,1
4007,91,1,1,0,1
4007,92,2,-1,1,0
4007,93,1,1,0,1
4007,94,1,1,0,1
4007,95,3,0,1,1
4007,96,3,0,1,1
4007,97,2,-1,1,0
4007,98,1,1,0,1
4007,99,1,1,0,1
4007,100,3,-1,1,1
